name,price,url
100% Dark Hot Chocolate Flakes,12.934999999999999,https://www.chocolate.co.uk/collections/all/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,41.6,https://www.chocolate.co.uk/collections/all/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,41.6,https://www.chocolate.co.uk/collections/all/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,11.375,https://www.chocolate.co.uk/collections/all/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,11.375,https://www.chocolate.co.uk/collections/all/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,12.934999999999999,https://www.chocolate.co.uk/collections/all/products/70-dark-hot-chocolate-flakes
Assorted Chocolate Malt Balls,11.700000000000001,https://www.chocolate.co.uk/collections/all/products/assorted-chocolate-malt-balls
Blonde Caramel,6.5,https://www.chocolate.co.uk/collections/all/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,11.05,https://www.chocolate.co.uk/collections/all/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,11.700000000000001,https://www.chocolate.co.uk/collections/all/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,25.935,https://www.chocolate.co.uk/collections/all/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,12.934999999999999,https://www.chocolate.co.uk/collections/all/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,22.75,https://www.chocolate.co.uk/collections/all/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,22.75,https://www.chocolate.co.uk/collections/all/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,6.5,https://www.chocolate.co.uk/collections/all/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,6.5,https://www.chocolate.co.uk/collections/all/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,11.635,https://www.chocolate.co.uk/collections/all/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,71.5,https://www.chocolate.co.uk/collections/all/products/celebration-hamper
Christmas Cracker,6.5,https://www.chocolate.co.uk/collections/all/products/christmas-cracker-chocolate-bar
Cinnamon Toast,6.5,https://www.chocolate.co.uk/collections/all/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,39.0,https://www.chocolate.co.uk/collections/all/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,6.5,https://www.chocolate.co.uk/collections/all/products/colombian-dark-chocolate-bar
Crunchy Biscuit,6.5,https://www.chocolate.co.uk/collections/all/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,11.635,https://www.chocolate.co.uk/collections/all?page=2/products/dark-chocolate-ginger
Dark Chocolate Honeycomb - Bag,11.05,https://www.chocolate.co.uk/collections/all?page=2/products/dark-chocolate-honeycomb
Dark Chocolate Honeycomb Egg & Honeycomb (Large),32.5,https://www.chocolate.co.uk/collections/all?page=2/products/hokey-pokey-large-wicked-egg-honeycomb
Dark Chocolate Malt Balls,11.700000000000001,https://www.chocolate.co.uk/collections/all?page=2/products/dark-chocolate-malt-balls
